Category,Dataset title,Version,Contact organisation,Dataset ID,Associated metadata?,Webpage and/or download,Factsheet URL,Country,Region,DIC_MET_ACCESS_USE_CONSTRAINT.NAME,Other access use constraints,Marine Spatial Planning & Policy,Education,Environmental Impact & high-level screening,Ecosystem health & assessment,Ecosystem services and blue carbon
Species distribution,Wildlife Tracking,,seaturtle.org,SeaTur-001,0,http://www.wildlifetracking.org,,Not Reported,Not Reported,Not Reported,,0,1,0,1,0
Biodiversity-related data portal,Environmental Data Explorer,,UN Environment,UNEP-003,0,http://geodata.grid.unep.ch,,Global,Global,Not Reported,,0,1,0,1,1
Biodiversity-related data portal,UNEP Live,,UN Environment,UNEP-004,0,http://uneplive.unep.org,,Global,Global,Not Reported,,0,0,0,1,1
Ecosystem services and natural capital,Ocean Past Initiative,,"Maritime Historical Studies Centre, University of Hull",HMAP-001,0,http://www.hull.ac.uk/hmap/Library/Library.htm,,Global,Global,Not Reported,,0,1,0,0,0
Ecological status and impact,Global and Regional Assessments of the Marine Environment (GRAME) Database,,UN Environment World Conservation Monitoring Centre,WCMC-038,0,http://www.unep-wcmc-apps.org/gramed,,Global,Global,Not Reported,,1,0,0,0,0
Biodiversity-related data portal,ReefBase,,The WorldFish Center,WorldFish-001,0,http://www.reefbase.org/gis_maps/datasets.aspx,,Global,Global,Not Reported,,0,0,0,1,1
Ecological status and impact,NOAA Coral Reef Watch,3.1 (August 2018),National Oceanic and Atmospheric Administration,NOAA-002,0,http://coralreefwatch.noaa.gov/satellite/composites/index.php,,Global,Global,Not Reported,,1,1,1,1,1
Ecological status and impact,Submarine Cable Map,,International Cable Protection Committee,ICPC-001,1,https://iscpc.org/cable-data,,Global,Global,Not Reported,None.,1,0,1,0,0
Administration,"Areas of Special Importance For Cetaceans of the Black Sea, Mediterranean Sea and contiguous Atlantic areas (ACCOBAMS)",,"The Agreement on the Conservation of Cetaceans of the Black Sea, Mediterranean Sea and contiguous Atlantic area",ACCOBAMS-001,0,Contact: marine@unep-wcmc.org,,Regional,Black Sea; Mediterranean,Not Reported,,1,0,1,0,0
Administration,"Area of Competence for the Areas of Special Importance For Cetaceans of the Black Sea, Mediterranean Sea and contiguous Atlantic areas (ACCOBAMS)",,"The Agreement on the Conservation of Cetaceans of the Black Sea, Mediterranean Sea and contiguous Atlantic area",ACCOBAMS-002,0,Contact: marine@unep-wcmc.org,,Regional,Black Sea; Mediterranean,Not Reported,,1,0,0,0,0
Administration,"Area of Competence for the Agreement on the Conservation of Small Cetaceans in the Baltic, North East Atlantic, Irish and North Seas (ASCOBANS)",,"Agreement on the Conservation of Small Cetaceans in the Baltic, North East Atlantic, Irish and North Seas",ASCOBANS-001,0,Contact: marine@unep-wcmc.org,,United Kingdom of Great Britain and Northern Ireland (the),Baltic; North-East Atlantic,Not Reported,,1,0,0,0,0
Biodiversity-related data portal,Living Atlas of the World,,ESRI,ESRI-001,0,https://livingatlas.arcgis.com/en/#s=0,,Global,Global,Not Reported,,0,0,0,1,0
Ecological status and impact,World Ocean Atlas,,National Oceanic and Atmospheric Administration,NOAA-003,0,https://www.nodc.noaa.gov/OC5/WOA09/pr_woa09.html,,Global,Global,Not Reported,,1,0,0,0,0
Administration,Coastal Governance Index,,The Economist Intelligence Unit,EIU-001,0,http://perspectives.eiu.com/sites/default/files/images/EIU_CGIndex_WEB%20final_0.pdf,,Global,Global,Not Reported,,1,0,0,0,0
Ecological status and impact,Coral Reef Bright Spot,,"James Cook University, Townsville Campus",UniJC-001,0,https://doi:10.1038/nature18607,,Global,Global,Not Reported,,0,1,0,1,1
Ecological status and impact,Conservation status of habitat types and species,,European Environmental Agency,EEA-002,0,https://www.eea.europa.eu/data-and-maps/data/article-17-database-habitats-directive-92-43-eec-1#tab-european-data,,Regional,Mediterranean; North-East Atlantic,Not Reported,,0,0,0,1,0
Biogeographic classification,Ecological Marine Units (EMU),,ESRI,ESRI-002,0,http://esri.maps.arcgis.com/home/group.html?id=6c78a5125d3244f38d1bc732ef0ee743#overview,,Global,Global,Not Reported,,1,0,0,1,0
Biodiversity-related data portal,European Marine Spatial Platform,,European Marine Spatial Planning Platform,MSPplat-001,0,http://msp-platform.eu/msp-practice/msp-projects,,Belgium; Bulgaria; Croatia; Cyprus; Denmark; Estonia; Finland; France; Germany; Greece; Ireland; Italy; Latvia; Lithuania; Malta; Netherlands (the); Norway; Poland; Portugal; Romania; Slovenia; Spain; Sweden; United Kingdom of Great Britain and Northern Ireland (the),Baltic; Black Sea; Mediterranean; North-East Atlantic,Not Reported,,1,0,0,0,0
Biodiversity-related data portal,EMODnet broad-scale seabed habitat map for Europe (EUSeaMap),,European Marine Observation and Data Network,EMODnet-001,0,http://www.emodnet-seabedhabitats.eu/default.aspx?page=1934,,Regional,Baltic; Mediterranean; North-East Atlantic,Not Reported,,1,0,0,1,1
Ecological status and impact,Forecasted Coral Reef Decline,,University of Fribourg,UniFri-001,0,http://doi:10.1111/gcb.12868,,Global,Global,Not Reported,,0,0,1,1,1
Biodiversity-related data portal,The Global Earth Observation System of Systems (GEOSS) Portal,,Group on Earth Observations,GEO-001,0,http://www.geoportal.org/,,Global,Global,Not Reported,,1,0,0,0,0
Ecological status and impact,Global Ocean Acidification Observing Network,,Global Ocean Acidification Observation Network,GOAON-001,0,http://goa-on.org/GOA-ON_Map_FullScreen.html#,,Global,Global,Not Reported,,0,0,1,0,0
Biogenic habitat,Global Wetlands Map,2.0 (2017),Centre for International Forestry Research,CIFOR-001,1,https://www.cifor.org/global-wetlands/,,Global,Global,Not Reported,Not reported.,1,1,1,0,0
Biodiversity-related data portal,Global Database of Natural Coastal Defences,,The Nature Conservancy,TNC-005,0,http://www.maps.coastalresilience.org/global/#,,Global,Global,Not Reported,,1,0,0,0,1
Species distribution,Global Modelled Distribution of Xenophyophores,1.0 (2014),"University of Southampton, National Oceanography Centre",NOC-001,0,https://doi.org/10.1016/j.dsr.2014.07.012,,Global,Global,Not Reported,,1,0,0,1,0
Ecological status and impact,Global Nutrient Export From Watersheds,,Intergovernmental Oceanographic Commission of UNESCO,IOC-001,0,https://marine.rutgers.edu/globalnews/datasets.htm,,Global,Global,Not Reported,,1,0,1,0,0
Ecological status and impact,Sailing Seas of Plastic,,Dumpark data science & information design,Dumpark-001,0,http://app.dumpark.com/seas-of-plastic-2/#,,Global,Global,Not Reported,,0,1,1,0,0
Biodiversity-related data portal,FAO GeoNetwork,,Food and Agriculture Organization of the United Nations,FAO-004,0,http://www.fao.org/geonetwork/srv/en/main.home#,,Global,Global,Not Reported,,1,0,0,0,0
Biodiversity-related data portal,Global Registry Of Biodiversity Repositories,,National Center for Biotechnology Information,NCBI-001,0,https://docs.google.com/spreadsheets/d/1IoyLuuJvmGhma-cGlmjIQKs65qq-YEXWiZNc1lZen_c/edit#gid=0,,Global,Global,Not Reported,,1,0,0,0,0
Biodiversity-related data portal,Copernicus - Marine Environment Monitoring Service,,Mercator Ocean,Copernicus-001,0,http://marine.copernicus.eu/services-portfolio/access-to-products/,,Global,Global,Not Reported,,1,0,1,0,0
Species distribution,Biomass Of Deep Sea Floor,,Texas A&M University,TAM-001,0,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0015323#s5,,Global,Global,Not Reported,,1,0,0,1,0
Administration,Global Distribution of Biological Field Stations,,Freie Universität Berlin (FU),UniFreBer-001,0,http://data.freshwaterbiodiversity.eu/tools,,Global,Global,Not Reported,,1,0,0,0,0
Protected areas and areas of biodiversity importance,Marine Protection Atlas (MPAtlas),,Marine Conservation Institute,MCI-001,0,http://www.mpatlas.org/data/download/,,Global,Global,Not Reported,,1,0,0,0,0
Ecological status and impact,World Register of Introduced Marine Species (WRIMS),,Flanders Marine Institute,VLIZ-008,0,http://www.marinespecies.org/introduced/online_sources.php,,Global,Global,Not Reported,,0,0,1,1,0
Ecological status and impact,LITTERBASE Online Portal for Marine Litter,1.0,"Alfred Wegener Institute, Helmholtz Center for Polar and Marine Research",AWI-002,1,http://litterbase.awi.de/litter,,Global,Global,Not Reported,Not reported.,0,1,1,0,0
Ecological status and impact,Live Global Ship Tracking-AIS Marine Traffic,,Exmile Solutions Limited,ESL-001,0,http://www.marinetraffic.com/en/ais/home/centerx:25.0/centery:37.0/zoom:10,,Global,Global,Not Reported,,1,0,1,0,0
Ecological status and impact,Maritime Portal: Sea-web and AISLive Ship Tracking Intelligence,,IHS Markit,IHS-001,0,https://www.ihs.com/products/maritime-ship-tracker-ais-live-ship-data-seaweb.html,,Global,Global,Not Reported,,1,0,1,0,0
Biogenic habitat,Kelp Ecosystem Ecology Network (KEEN),,University of Massachusetts Boston,UMASS-001,0,http://www.kelpecosystems.org/,,Global,Global,Not Reported,,0,0,0,1,1
Ecological status and impact,ShipMap,1.0 (2012),University College London Energy Institute,UCL-001,1,https://www.shipmap.org/,,Global,Global,Not Reported,Not reported.,1,1,0,1,0
Biodiversity-related data portal,African Coastal and Marine Atlas,,Intergovernmental Oceanographic Commission of UNESCO,IOC-002,0,http://www.africanmarineatlas.org/,,Regional,Eastern Africa; West and Central Africa- WACAF,Not Reported,,1,1,1,1,1
Ecological status and impact,A Global Map of Human Impacts to Marine Ecosystems (2008),2008,"National Centre for Ecological Analysis and Synthesis, University of California",NCEAS-001,0,https://www.nceas.ucsb.edu/globalmarine,,Global,Global,Specific Terms of Use,,0,0,1,0,0
Administration,Global Maritime Boundaries Database (GMBD) (2008),,"General Dynamics Advanced Information Systems, Inc.",GMBD-001,0,http://www.globalgisdata.com/10974.html,,Global,Global,Specific Terms of Use,,1,0,0,0,0
Ecological status and impact,Fishing Gear Associated With Global Marine Catches,2008,"Sea Around Us, University of British Columbia",UBC-008,0,http://dx.doi.org/10.1016/j.fishres.2006.01.010,,Global,Global,CC BY-NC 4.0,,0,1,1,0,0
Ecological status and impact,Global Fishing Watch,Daily updates,Global Fishing Watch,GFW-001,1,http://globalfishingwatch.org/data,,Global,Global,CC BY-SA 4.0,"For full 'terms of use', please visit: https://globalfishingwatch.org/terms-of-use/",0,1,1,0,0
Protected areas and areas of biodiversity importance,Global Distribution of Important Marine Mammal Areas (IMMAs),January 2017,Marine Mammal Protected Areas Task Force,IUCN-003,0,https://www.marinemammalhabitat.org/imma-eatlas/,,Global,Global,Specific Terms of Use,,1,0,1,0,0
Species distribution,SponGIS,,University of Bergen,UniBer-001,0,http://spongis.org/,,Regional,North-East Atlantic,CC0 1.0,,0,1,0,1,1
Biogeographic classification,Longhurst Biogeographical Provinces (2006),,Flanders Marine Institute,VLIZ-007,1,http://www.marineregions.org,,Global,Global,CC BY-NC-SA 4.0,"The data can be used for educational, scientific or research purposes but should not be used for legal, commercial/economical (exploration of natural resources), military or navigational purposes.Anyone can download this data but it is for the sole use of the organization or individual downloading the data. The geodata may not be redistributed without the permission of the Flanders Marine Institute (VLIZ).

The geodata may be used in a Value-Added Software Application (like web services), on condition that the Flanders Marine Institute is acknowledged as the source of the data. Redistribution rights are granted for hard-copy renditions or static, electronic map images (e.g., jpeg, gif, etc.) that are plotted, printed or publicly displayed with reference to the Flanders Marine Institute.

For redistribution rights of derived products, please contact us at info@marineregions.org",1,0,0,0,0
Administration,Marine Regions Data Portal,,Flanders Marine Institute,VLIZ-003,1,http://www.marineregions.org,,Global,Global,CC BY-NC-SA 4.0,None.,1,0,0,0,0
